"행정구역","2021년11월_총인구수","2021년11월_세대수","2021년11월_세대당 인구","2021년11월_남자 인구수","2021년11월_여자 인구수","2021년11월_남여 비율"
"전국  (1000000000)","51,652,704","23,444,608","          2.20","25,754,446","25,898,258","          0.99"
"서울특별시  (1100000000)","9,520,880","4,424,222","          2.15","4,624,290","4,896,590","          0.94"
"부산광역시  (2600000000)","3,353,627","1,543,438","          2.17","1,640,867","1,712,760","          0.96"
"대구광역시  (2700000000)","2,388,230","1,063,241","          2.25","1,177,136","1,211,094","          0.97"
"인천광역시  (2800000000)","2,946,319","1,296,517","          2.27","1,475,245","1,471,074","          1.00"
"광주광역시  (2900000000)","1,442,138","644,972","          2.24","713,292","728,846","          0.98"
"대전광역시  (3000000000)","1,453,675","663,621","          2.19","725,406","728,269","          1.00"
"울산광역시  (3100000000)","1,122,495","482,287","          2.33","576,636","545,859","          1.06"
"세종특별자치시  (3600000000)","369,465","152,301","          2.43","184,441","185,024","          1.00"
"경기도  (4100000000)","13,557,973","5,831,464","          2.32","6,823,931","6,734,042","          1.01"
"강원도  (4200000000)","1,538,273","745,060","          2.06","774,232","764,041","          1.01"
"충청북도  (4300000000)","1,597,019","759,106","          2.10","810,261","786,758","          1.03"
"충청남도  (4400000000)","2,119,529","1,000,660","          2.12","1,083,419","1,036,110","          1.05"
"전라북도  (4500000000)","1,788,616","848,380","          2.11","889,824","898,792","          0.99"
"전라남도  (4600000000)","1,833,864","902,193","          2.03","922,677","911,187","          1.01"
"경상북도  (4700000000)","2,627,468","1,275,275","          2.06","1,324,021","1,303,447","          1.02"
"경상남도  (4800000000)","3,316,365","1,504,605","          2.20","1,669,512","1,646,853","          1.01"
"제주특별자치도  (5000000000)","676,768","307,266","          2.20","339,256","337,512","          1.01"
